11/4/2005,36.35,IQTR30644374,IQ4301529,Private Company,IQ4304695
12/31/2005,15,IQTR54302157,IQ52215057,Private Company,IQ54298323
12/31/2005,15,IQTR54302157,IQ52215057,Private Company,IQ12145961
12/13/2005,41.22,IQTR26362779,IQ397961,Private Company,IQ26362690
10/3/2005,6051.82,IQTR24161418,IQ670058,Public Company,IQ873648
10/4/2005,87.09,IQTR24319913,IQ5926741,Private Company,IQ26782
12/2/2005,47.85,IQTR25976820,IQ4524729,Private Company,IQ26782
12/5/2005,22278.37,IQTR25012058,IQ20803,Private Company,IQ317627
12/21/2005,70.14,IQTR25216621,IQ34566,Private Company,IQ23500974
12/15/2005,2127.11,IQTR25127443,IQ24165,Public Company,IQ24816
11/16/2005,2685.26,IQTR24770512,IQ92853,Private Company,IQ249205
12/30/2005,25.3,IQTR25290166,IQ8057922,Private Company,IQ367874
12/30/2005,29.55,IQTR25837375,IQ25837326,Assets/Products,IQ7621907
11/21/2005,1630.28,IQTR24863293,IQ255627,Private Company,IQ24863029
12/29/2005,230.41,IQTR25252869,IQ4471372,Private Company,IQ410416
12/28/2005,65.64,IQTR25265290,IQ4372018,Private Company,IQ7076187
10/25/2005,103.3,IQTR24424047,IQ24423962,Private Company,IQ311760
12/6/2005,424.1,IQTR25023723,IQ4204394,Private Company,IQ7940024
11/11/2005,95.14,IQTR24708171,IQ381958,Private Company,IQ28062
12/16/2005,415.5,IQTR25145020,IQ824605,Private Company,IQ139677
12/26/2005,62.99,IQTR105810916,IQ5510539,Private Company,IQ883899
12/1/2005,430.02,IQTR25020890,IQ1163873,Private Company,IQ30236
11/3/2005,31.9,IQTR24560036,IQ24559997,Private Company,IQ29344
12/18/2005,117,IQTR25182037,IQ25181995,Private Company,IQ881495
11/30/2005,26.73,IQTR24769916,IQ24769903,Private Company,IQ29554
11/18/2005,82.7,IQTR24770027,IQ999877,Private Company,IQ29554
10/7/2005,2799.73,IQTR24226013,IQ21949253,Private Company,-
12/30/2005,25.33,IQTR25318365,IQ22924695,Private Company,IQ135443
12/23/2005,173.72,IQTR25232080,IQ159302,Private Company,IQ336774
12/16/2005,101.54,IQTR25109807,IQ2697054,Private Company,IQ327142
12/28/2005,177.64,IQTR25315690,IQ25315518,Private Company,IQ428740
12/6/2005,26.29,IQTR25041151,IQ10502769,Private Company,IQ93831
11/15/2005,50.28,IQTR37566616,IQ153894,Private Company,IQ31232183
12/19/2005,371.04,IQTR25132303,IQ33600,Private Company,IQ31186
12/15/2005,430,IQTR25142875,IQ25142765,Assets/Products,IQ135020
10/12/2005,37.41,IQTR25499335,IQ915825,Public Company,IQ11212016
11/17/2005,46.85,IQTR24810784,IQ2520384,Private Company,IQ20933603
12/23/2005,34.17,IQTR25230011,IQ7185534,Private Company,IQ354853
10/11/2005,80.16,IQTR24250191,IQ31496,Private Company,IQ2952485
10/16/2005,55.15,IQTR24347080,IQ254815,Private Company,IQ31913
12/21/2005,42.31,IQTR25216437,IQ20853543,Private Company,IQ26273
10/18/2005,62.86,IQTR24425451,IQ117743348,Assets/Products,IQ24425069
12/31/2005,73.9,IQTR25396183,IQ9284291,Private Company,IQ2377381
12/31/2005,73.9,IQTR25396183,IQ9284291,Private Company,IQ25396042
12/31/2005,58.04,IQTR418425637,IQ8079909,Private Company,-
10/19/2005,176.07,IQTR24225148,IQ884259,Private Company,IQ24467492
12/30/2005,48.54,IQTR25285062,IQ25051259,Private Company,IQ25831
11/28/2005,120.54,IQTR25319635,IQ25319411,Assets/Products,IQ92852
11/8/2005,50.12,IQTR24602273,IQ24601928,Private Company,IQ881725
10/31/2005,28.63,IQTR25332894,IQ24546883,Private Company,IQ11618214
10/3/2005,87.82,IQTR24176652,IQ428032,Private Company,IQ4481199
12/28/2005,262.48,IQTR54032742,IQ54029787,Assets/Products,IQ45315550
12/27/2005,28.67,IQTR25253866,IQ25253738,Assets/Products,IQ622668
10/24/2005,533.53,IQTR24406229,IQ28671,Public Company,IQ22233
12/6/2005,88.79,IQTR25040086,IQ6545930,Private Company,IQ877290
12/5/2005,310.26,IQTR25020914,IQ8480862,Private Company,IQ26322
10/14/2005,1500,IQTR24322738,IQ5534352,Private Company,IQ879555
10/20/2005,675.86,IQTR24377907,IQ24347728,Assets/Products,IQ10637389
12/31/2005,57.78,IQTR141047222,IQ878804,Private Company,IQ878664
12/9/2005,68.27,IQTR24842304,IQ3609631,Private Company,IQ318668
12/12/2005,82,IQTR25109041,IQ25108956,Assets/Products,IQ884200
10/28/2005,274.87,IQTR24468535,IQ874163,Public Company,IQ1029971
12/1/2005,128.16,IQTR24982290,IQ12762876,Private Company,IQ22751
12/1/2005,222.14,IQTR23697048,IQ23697010,Assets/Products,IQ22263063
10/17/2005,1112.02,IQTR24348718,IQ298893,Private Company,IQ301667
11/23/2005,57.13,IQTR24983051,IQ4288900,Private Company,IQ172207
10/17/2005,835.64,IQTR78764035,IQ29962,Private Company,IQ671980
10/11/2005,685.315,IQTR34181592,IQ11463664,Private Company,IQ30589163
10/11/2005,685.315,IQTR34181592,IQ11463664,Private Company,IQ21401
11/4/2005,89.42,IQTR24599896,IQ327142,Private Company,-
11/4/2005,80.37,IQTR32455430,IQ129616,Private Company,IQ8141878
10/5/2005,177.16,IQTR24223225,IQ24211434,Private Company,IQ24821
11/1/2005,33.5,IQTR24527857,IQ661419,Private Company,IQ143491
11/1/2005,26.88,IQTR32688635,IQ32688614,Private Company,IQ8141878
11/3/2005,33.91,IQTR24309450,IQ24309444,Private Company,IQ1340741
10/12/2005,28.26,IQTR24311016,IQ156951,Private Company,IQ9620565
10/3/2005,173.74,IQTR24248794,IQ3183211,Private Company,IQ36040
10/6/2005,44.24,IQTR24224972,IQ24224955,Private Company,IQ11463664
10/5/2005,28.01,IQTR24193529,IQ1914021,Private Company,IQ4497477
10/4/2005,69.5,IQTR24194037,IQ6313095,Private Company,IQ24809
10/6/2005,37.08,IQTR24162229,IQ23954260,Private Company,IQ24798
12/6/2005,49.11,IQTR23720610,IQ29761,Private Company,IQ31348
