node,outdegree,katz,clustering,dir_clustering,w_clustering,weight_dir_clustering,undirected_betweenness,undirected_Weighted_betweenness,QuarterYear,Number of Deals,Total Deal Value
IQ162270,0.0027522935779816,0.0284757411588072,0.0,0.0,0.0,0.0,8.424528858223605e-06,8.424528858223605e-06,2003-q1,0.0,0.0
IQ162270,0.0025773195876288,0.0275377255468543,0.0,0.0,0.0,0.0,7.386986493633895e-06,7.386986493633895e-06,2003-q2,0.0,0.0
IQ162270,0.0024271844660194,0.0267002820415392,0.0,0.0,0.0,0.0,6.551105171442422e-06,6.551105171442422e-06,2003-q3,0.0,0.0
IQ162270,0.0030188679245283,0.0257671364832493,0.0,0.0,0.0,0.0,1.0260502764635466e-05,1.0260502764635466e-05,2003-q4,1.0,1078.28
IQ162270,0.0028632784538296,0.0250631422495108,0.0,0.0,0.0,0.0,9.229765789565442e-06,9.229765789565442e-06,2004-q1,0.0,0.0
IQ162270,0.0033400133600534,0.0241997599883244,0.0,0.0,0.0,0.0,1.6967982310431915e-05,1.6967982310431915e-05,2004-q2,1.0,510.69
IQ162270,0.0038461538461538,0.0236983086217903,0.0,0.0,0.0,0.0,2.138122728244601e-05,2.138122728244601e-05,2004-q3,1.0,99.17
IQ162270,0.0035992801439712,0.0229077126246947,0.0,0.0,0.0,0.0,1.872374624714913e-05,1.872374624714913e-05,2004-q4,0.0,0.0
IQ162270,0.0034285714285714,0.0223474970979305,0.0,0.0,0.0,0.0,1.6989300008167932e-05,1.6989300008167932e-05,2005-q1,0.0,0.0
IQ162270,0.003747323340471,0.0216161331734319,0.0,0.0,0.0,0.0,2.408563475396524e-05,2.408563475396524e-05,2005-q2,1.0,1600.8
IQ162270,0.0035264483627204,0.020952661800245,0.0,0.0,0.0,0.0,2.1329324774518563e-05,2.1329324774518563e-05,2005-q3,0.0,0.0
IQ162270,0.0033412887828162,0.0203860696185499,0.0,0.0,0.0,0.0,1.914778672100991e-05,1.914778672100991e-05,2005-q4,0.0,0.0
IQ162270,0.0036019810895992,0.0197952522169526,0.0,0.0,0.0,0.0,2.1092682056212e-05,2.1092682056212e-05,2006-q1,0.0,0.0
IQ162270,0.0042498937526561,0.019220641806733,0.0,0.0,0.0,0.0,2.710391423887872e-05,2.710391423887872e-05,2006-q2,2.0,579.53
IQ162270,0.0040209087253719,0.0186852189471823,0.0,0.0,0.0,0.0,2.426131572026509e-05,2.426131572026509e-05,2006-q3,0.0,0.0
IQ162270,0.0037750094375235,0.0180924028892405,0.0,0.0,0.0,0.0,2.1384116904401023e-05,2.1384116904401023e-05,2006-q4,1.0,1079.65
IQ162270,0.0036231884057971,0.0177160206422585,0.0,0.0,0.0,0.0,1.9698378429487684e-05,1.9698378429487684e-05,2007-q1,0.0,0.0
IQ162270,0.0034458993797381,0.0172687337518906,0.0,0.0,0.0,0.0,1.781747352501609e-05,1.781747352501609e-05,2007-q2,0.0,0.0
IQ162270,0.003254149040026,0.0167798603659086,0.0,0.0,0.0,0.0,1.5889399609502115e-05,1.5889399609502115e-05,2007-q3,0.0,0.0
IQ162270,0.0034034653465346,0.0163580398811746,0.0,0.0,0.0,0.0,1.915233306060411e-05,1.915233306060411e-05,2007-q4,1.0,154.76
IQ162270,0.003584229390681,0.0160710051015648,0.0,0.0,0.0,0.0,2.052516581656784e-05,2.052516581656784e-05,2008-q1,1.0,259.19
IQ162270,0.0037474776592678,0.0157830677656508,0.0,0.0,0.0,0.0,2.1777995446902752e-05,2.1777995446902752e-05,2008-q2,1.0,269.55
IQ162270,0.0035941387890517,0.015452499140811,0.0,0.0,0.0,0.0,2.003200227049748e-05,2.003200227049748e-05,2008-q3,0.0,0.0
IQ162270,0.0035097192224622,0.0152676677810235,0.0,0.0,0.0,0.0,1.910190149951385e-05,1.910190149951385e-05,2008-q4,0.0,0.0
IQ162270,0.0037293553542887,0.0151618748304306,0.0,0.0,0.0,0.0,4.514236240203362e-05,4.514236240203362e-05,2009-q1,1.0,60522.64
IQ162270,0.003933910306845,0.0150432519866247,0.0,0.0,0.0,0.0,4.760870815559187e-05,4.760870815559187e-05,2009-q2,1.0,106.27
IQ162270,0.0038491147036181,0.0148781135343331,0.0,0.0,0.0,0.0,4.5578154943596375e-05,4.5578154943596375e-05,2009-q3,0.0,0.0
IQ162270,0.0037359900373599,0.0146519126263342,0.0,0.0,0.0,0.0,4.61647000132165e-05,4.61647000132165e-05,2009-q4,0.0,0.0
IQ162270,0.0036398932297985,0.0144594591568659,0.0,0.0,0.0,0.0,4.382007383446849e-05,4.382007383446849e-05,2010-q1,1.0,511.59
IQ162270,0.00354024073637,0.0142558459296,0.0,0.0,0.0,0.0,4.145324374975345e-05,4.145324374975345e-05,2010-q2,0.0,0.0
IQ162270,0.0036730945821854,0.014054144559583,0.0,0.0,0.0,0.0,4.238186056367875e-05,4.238186056367875e-05,2010-q3,0.0,0.0
IQ162270,0.0041924095322153,0.0137765976658922,0.0058479532163742,0.0029239766081871,0.0003172216285975,0.0001586108142987,4.5289652161835805e-05,4.5289652161835805e-05,2010-q4,3.0,3189.51
IQ162270,0.0040503091025367,0.013539803277347,0.0058479532163742,0.0029239766081871,0.0003172216285975,0.0001586108142987,4.227120935202781e-05,4.227120935202781e-05,2011-q1,0.0,0.0
