node,katz_eigen,clustering,dir_clustering,w_clustering,weight_dir_clustering,weighted_eigenvector,undirected_Weighted_betweenness,undirected_harmonic,QuarterYear,Number of Deals,Total Deal Value
IQ277914,6.399649581138442e-10,0.0,0.0,0.0,0.0,4.127072425226428e-18,0.0,13.625077700077698,2010-q4,1.0,107.72
IQ277914,6.399649498926994e-10,0.0,0.0,0.0,0.0,-7.273267960851403e-18,1.8181165312700133e-06,1.0,2011-q1,5.0,1282.86
IQ277914,6.399649294190942e-10,0.0,0.0,0.0,0.0,-7.461611393868027e-16,2.321930903980159e-06,16.5,2011-q2,1.0,51.71
IQ277914,6.399646571861945e-10,0.0,0.0,0.0,0.0,-2.5545098984969768e-18,2.1927682017424707e-06,13.750000000000004,2011-q3,0.0,0.0
IQ277914,6.399646571326259e-10,0.0,0.0,0.0,0.0,1.5302204739368368e-18,2.7141080343723948e-06,1.0,2011-q4,1.0,51.9
IQ277914,6.399646570916887e-10,0.0,0.0,0.0,0.0,-1.880502055453357e-16,5.55267515673166e-06,2.5,2012-q1,2.0,238.16500000000002
IQ277914,6.399646556080731e-10,0.0,0.0,0.0,0.0,-6.877240707982821e-16,6.166285232875018e-06,2.0,2012-q2,2.0,96.95
IQ277914,6.399642462551908e-10,0.0,0.0,0.0,0.0,-1.8654930704811602e-18,0.0013674985222611,1.0,2012-q3,4.0,1420.145
IQ277914,6.39964246238293e-10,0.0,0.0,0.0,0.0,6.601214447345158e-16,0.0014043077806409,1.0,2012-q4,1.0,46.47
IQ277914,6.399642462368248e-10,0.0,0.0,0.0,0.0,-2.0358364521625703e-16,0.0013964297239458,2.0,2013-q1,0.0,0.0
IQ277914,6.399438421636235e-10,0.0,0.0,0.0,0.0,-3.2687011053137456e-19,0.0018043883859891,2.0,2013-q2,3.0,337.025
IQ277914,6.399434454496415e-10,0.0,0.0,0.0,0.0,2.702783808385921e-19,0.0020900387879152,97.85115132841962,2013-q3,2.0,803.97
IQ277914,6.399434452297908e-10,0.0,0.0,0.0,0.0,5.117316722767105e-17,0.002353880728719,1.0,2013-q4,0.0,0.0
IQ277914,6.399294562614505e-10,0.0,0.0,0.0,0.0,-4.1464054765685856e-17,0.0022984387768845,1.0,2014-q1,0.0,0.0
IQ277914,6.397026373881532e-10,0.0,0.0,0.0,0.0,1.9615765504574227e-16,0.0022689499424712,215.3806919387793,2014-q2,0.0,0.0
IQ277914,6.397026186927122e-10,0.0,0.0,0.0,0.0,-3.253344271195026e-16,0.0022429763112506,1.5,2014-q3,0.0,0.0
IQ277914,6.397021370810729e-10,0.0,0.0,0.0,0.0,-5.0097150608482447e-17,0.0021847777355461,1.0,2014-q4,0.0,0.0
IQ277914,6.0875633504453e-10,0.0,0.0,0.0,0.0,2.0517125294184026e-17,0.0022553503725564,4.5,2015-q1,2.0,181.47
IQ277914,6.087560935446738e-10,0.0,0.0,0.0,0.0,-6.064334984237794e-16,0.002742926640602,2.0,2015-q2,3.0,403.90500000000003
IQ277914,6.087560929335125e-10,0.0,0.0,0.0,0.0,1.383836339706588e-16,0.0027974232804836,3.333333333333333,2015-q3,4.0,609.515
IQ277914,6.087560928572563e-10,0.0,0.0,0.0,0.0,7.069305342022392e-16,0.0028423578740784,203.1953669782229,2015-q4,0.0,0.0
IQ277914,6.08728613693139e-10,0.002016129032258,0.001008064516129,7.654959104130551e-06,3.827479552065276e-06,-2.0181987626406136e-17,0.0051300971497304,305.4142270912782,2016-q1,2.0,1198.1
IQ277914,6.087131007119667e-10,0.002016129032258,0.001008064516129,7.654959104130551e-06,3.827479552065276e-06,-1.5777560954213138e-15,0.0051764612408109,1.0,2016-q2,0.0,0.0
IQ277914,6.086938540828545e-10,0.0017825311942959,0.0008912655971479,6.768020883509364e-06,3.384010441754682e-06,1.594737478774068e-16,0.0051461472531364,1.0,2016-q3,1.0,31.67
IQ277914,6.086938520961426e-10,0.0017825311942959,0.0008912655971479,6.768020883509364e-06,3.384010441754682e-06,-5.3779115812486237e-17,0.0073429676953004,1.0,2016-q4,0.0,0.0
IQ277914,6.086938508001496e-10,0.0015873015873015,0.0007936507936507,6.026761453410719e-06,3.0133807267053595e-06,9.73093889374604e-17,0.0073581582683412,2.0,2017-q1,2.0,193.485
IQ277914,6.086938445359232e-10,0.0015873015873015,0.0007936507936507,6.026761453410719e-06,3.0133807267053595e-06,-2.0912498226913384e-16,0.0074200046213382,10.95,2017-q2,0.0,0.0
IQ277914,6.086938440004716e-10,0.0015873015873015,0.0007936507936507,6.026761453410719e-06,3.0133807267053595e-06,2.4592149015779293e-16,0.0073885347331513,262.74354266734133,2017-q3,1.0,71.76
IQ277914,2.7538435693302333e-10,0.0015015015015015,0.0007507507507507,5.700990564037166e-06,2.850495282018583e-06,8.233853403838026e-17,0.0074928822154662,436.1021417308191,2017-q4,0.0,0.0
