node,outdegree,katz,undirected_betweenness,undirected_Weighted_betweenness,undirected_harmonic,QuarterYear,Number of Deals,Total Deal Value
IQ317627,0.0055045871559633,0.0284757411588072,2.527358657467081e-05,2.527358657467081e-05,2.0,2003-q1,0.0,0.0
IQ317627,0.0051546391752577,0.0275377255468543,2.2160959480901687e-05,2.2160959480901687e-05,3.0,2003-q2,0.0,0.0
IQ317627,0.0048543689320388,0.0267002820415392,1.9653315514327267e-05,1.9653315514327267e-05,1.0,2003-q3,0.0,0.0
IQ317627,0.0045283018867924,0.0257671364832493,1.7100837941059112e-05,1.7100837941059112e-05,6.0,2003-q4,0.0,0.0
IQ317627,0.0042949176807444,0.0250631422495108,1.5382942982609067e-05,1.5382942982609067e-05,1.0,2004-q1,0.0,0.0
IQ317627,0.0046760187040748,0.0241997599883244,1.8754085711530013e-05,1.8754085711530013e-05,1.0,2004-q2,1.0,605.69
IQ317627,0.0044871794871794,0.0236983086217903,1.7269452805052548e-05,1.7269452805052548e-05,2.5,2004-q3,0.0,0.0
IQ317627,0.0047990401919616,0.0229077126246947,2.016403442000676e-05,2.016403442000676e-05,2.0,2004-q4,1.0,90.49
IQ317627,0.0045714285714285,0.0223474970979305,1.8296169239565462e-05,1.8296169239565462e-05,5.75,2005-q1,0.0,0.0
IQ317627,0.0053533190578158,0.0216161331734319,2.0644829789113063e-05,2.0644829789113063e-05,1.0,2005-q2,3.0,22404.17
IQ317627,0.0050377833753148,0.020952661800245,1.828227837815877e-05,1.828227837815877e-05,1.0,2005-q3,0.0,0.0
IQ317627,0.0052505966587112,0.0203860696185499,3.2824777236016984e-05,3.2824777236016984e-05,4.75,2005-q4,0.0,0.0
IQ317627,0.004952723998199,0.0197952522169526,2.9205252077832e-05,2.9205252077832e-05,2.0,2006-q1,1.0,78.74
IQ317627,0.0046748831279218,0.019220641806733,2.601975766932357e-05,2.601975766932357e-05,1.5,2006-q2,0.0,0.0
IQ317627,0.0044229995979091,0.0186852189471823,2.329086309145449e-05,2.329086309145449e-05,5.166666666666666,2006-q3,0.0,0.0
IQ317627,0.0045300113250283,0.0180924028892405,2.4235332491654493e-05,2.4235332491654493e-05,1.8333333333333333,2006-q4,0.0,0.0
IQ317627,0.0043478260869565,0.0177160206422585,2.2324828886752707e-05,2.2324828886752707e-05,56.433644133644265,2007-q1,0.0,0.0
IQ317627,0.0048242591316333,0.0172687337518906,2.7082559758024453e-05,2.7082559758024453e-05,2.0,2007-q2,2.0,96.22999999999999
IQ317627,0.0045558086560364,0.0167798603659086,0.0010378955824926,0.0010378955824926,1.0,2007-q3,0.0,0.0
IQ317627,0.0043316831683168,0.0163580398811746,0.0009899840959026,0.0009899840959026,66.49875402375429,2007-q4,0.0,0.0
IQ317627,0.0041816009557945,0.0160710051015648,0.0009761054943548,0.0009761054943548,63.651292988058,2008-q1,0.0,0.0
IQ317627,0.0040357451715191,0.0157830677656508,0.0009690376752671,0.0009690376752671,1.0,2008-q2,0.0,0.0
IQ317627,0.0038706110035941,0.015452499140811,0.0009211662723471,0.0009211662723471,1.0,2008-q3,0.0,0.0
IQ317627,0.00377969762419,0.0152676677810235,0.0009352640932662,0.0009352640932662,9.0,2008-q4,0.0,0.0
IQ317627,0.0037293553542887,0.0151618748304306,0.0009318064993929,0.0009318064993929,52.95815925990098,2009-q1,0.0,0.0
IQ317627,0.003671649619722,0.0150432519866247,0.0009135092874132,0.0009135092874132,1.0,2009-q2,0.0,0.0
IQ317627,0.0035925070567102,0.0148781135343331,0.0008883788350855,0.0008883788350855,3.333333333333333,2009-q3,0.0,0.0
IQ317627,0.0034869240348692,0.0146519126263342,0.0008927657309007,0.0008927657309007,2.0,2009-q4,0.0,0.0
IQ317627,0.0033972336811453,0.0144594591568659,0.0008668600089996,0.0008668600089996,1.0,2010-q1,0.0,0.0
IQ317627,0.0033042246872787,0.0142558459296,0.0009052853554381,0.0009052853554381,1.0,2010-q2,0.0,0.0
IQ317627,0.0034435261707988,0.014054144559583,0.0009499018996983,0.0009499018996983,5.0,2010-q3,1.0,338.99
IQ317627,0.0035304501323918,0.0137765976658922,0.0009481607823558,0.0009481607823558,1.5,2010-q4,1.0,282.88
IQ317627,0.0040503091025367,0.013539803277347,0.0011475951545376,0.0011475951545376,9.5,2011-q1,2.0,303.85
IQ317627,0.0039394567696454,0.0133491528313773,0.0011733490834779,0.0011733490834779,1.0,2011-q2,1.0,45.59
IQ317627,0.003828329639331,0.0131558628620628,0.0011584313196168,0.0011584313196168,2.0,2011-q3,0.0,0.0
IQ317627,0.0037408938767473,0.013004350882778,0.0011433373959653,0.0011433373959653,4.333333333333333,2011-q4,0.0,0.0
IQ317627,0.0038476337052712,0.0128535690312936,0.0011733913141205,0.0011733913141205,1.5,2012-q1,0.0,0.0
IQ317627,0.0037432154220475,0.0126758567327326,0.0012135669766836,0.0012135669766836,1.0,2012-q2,0.0,0.0
IQ317627,0.0038286235186873,0.0125072095686657,0.0013095192977066,0.0013095192977066,2.0,2012-q3,4.0,1639.75
IQ317627,0.0040643223184308,0.0123119986789941,0.0014050573444416,0.0014050573444416,1.0,2012-q4,0.0,0.0
IQ317627,0.0039813051756967,0.0121849871595776,0.0013971489769584,0.0013971489769584,2.0,2013-q1,0.0,0.0
IQ317627,0.0038963239031001,0.0120522932884284,0.001733549264447,0.001733549264447,1.0,2013-q2,0.0,0.0
IQ317627,0.0038016528925619,0.0119028689417496,0.0016765560593992,0.0016765560593992,3.066666666666667,2013-q3,0.0,0.0
IQ317627,0.0037204788094467,0.0117719275804976,0.0016685273029908,0.0016685273029908,1.5,2013-q4,0.0,0.0
IQ317627,0.0036260444584581,0.011620071976879,0.001629042720385,0.001629042720385,1.0,2014-q1,0.0,0.0
IQ317627,0.003829656862745,0.0114508030824719,0.0017406485728962,0.0017406485728962,3.5,2014-q2,2.0,348.36
IQ317627,0.0037335722819593,0.0113055754546999,0.0017205104113967,0.0017205104113967,1.0,2014-q3,0.0,0.0
IQ317627,0.0036347775516138,0.0111525383569096,0.0016757291743261,0.0016757291743261,6.916666666666666,2014-q4,0.0,0.0
IQ317627,0.0036795924143787,0.0110019422885382,0.0016969513408006,0.0016969513408006,179.58702077935826,2015-q1,2.0,1545.4699999999998
IQ317627,0.0036870135190495,0.0108065191666349,0.0017162571048034,0.0017162571048034,1.0,2015-q2,0.0,0.0
IQ317627,0.0035761589403973,0.0106415646904746,0.0016764994091581,0.0016764994091581,2.0,2015-q3,0.0,0.0
IQ317627,0.0036208457261088,0.0105142012438151,0.0016925132371534,0.0016925132371534,1.0,2015-q4,1.0,65.48
IQ317627,0.0035335689045936,0.0103849576123044,0.0017329211632686,0.0017329211632686,1.0,2016-q1,1.0,63.63
IQ317627,0.003454231433506,0.0102669657473597,0.0017151216462074,0.0017151216462074,298.1771884977758,2016-q2,0.0,0.0
IQ317627,0.0034977686648172,0.0101519402150708,0.0017269587162617,0.0017269587162617,1.0,2016-q3,1.0,223.9
IQ317627,0.0036660359508041,0.0100520205874457,0.0018013446444446,0.0018013446444446,218.26590300394457,2016-q4,1.0,51.23
IQ317627,0.0037174721189591,0.0099626498555002,0.0018215645776347,0.0018215645776347,234.9076996747661,2017-q1,2.0,661.03
IQ317627,0.003648802736602,0.0098692613706664,0.0018158192544405,0.0018158192544405,4.866666666666666,2017-q2,0.0,0.0
IQ317627,0.0035926799146738,0.0097929285189387,0.0018028195689616,0.0018028195689616,3.0,2017-q3,0.0,0.0
IQ317627,0.0036363636363636,0.0097005341605797,0.0018508364952751,0.0018508364952751,1.0,2017-q4,0.0,0.0
IQ317627,0.0036896364622897,0.0096266709513621,0.0018836842800141,0.0018836842800141,1.0,2018-q1,2.0,305.79
IQ317627,0.0038428693424423,0.0095466893032648,0.0019782551477801,0.0019782551477801,3.926190476190477,2018-q2,2.0,738.82
IQ317627,0.0039748953974895,0.0094502922351696,0.0020295885364665,0.0020295885364665,191.86922577000547,2018-q3,1.0,137.89
IQ317627,0.0041152263374485,0.0093722832693876,0.002493567180149,0.002493567180149,276.5920382292275,2018-q4,2.0,4098.4
IQ317627,0.0040530955517276,0.0093019863634984,0.0024355949850212,0.0024355949850212,2.0,2019-q1,0.0,0.0
IQ317627,0.0040893676441252,0.0092292013246345,0.002432976008015,0.002432976008015,1.0,2019-q2,0.0,0.0
IQ317627,0.0040219737100255,0.0091524322086508,0.0024260629955648,0.0024260629955648,266.6554779113208,2019-q3,1.0,503.08
IQ317627,0.0039533314048789,0.0090724331576079,0.0024469240362865,0.0024469240362865,2.0,2019-q4,0.0,0.0
IQ317627,0.003894376899696,0.0090051432690193,0.0023983594941708,0.0023983594941708,3.333333333333333,2020-q1,0.0,0.0
IQ317627,0.0038490424333458,0.0089528962553785,0.002354936234675,0.002354936234675,2.0,2020-q2,0.0,0.0
