node,outdegree,katz,undirected_betweenness,undirected_Weighted_betweenness,QuarterYear,Number of Deals,Total Deal Value
IQ382553,0.0055045871559633,0.0284757411588072,5.054717314934163e-05,5.054717314934163e-05,2003-q1,1.0,211.59
IQ382553,0.0051546391752577,0.0275377255468543,4.432191896180337e-05,4.432191896180337e-05,2003-q2,0.0,0.0
IQ382553,0.0048543689320388,0.0267002820415392,3.930663102865453e-05,3.930663102865453e-05,2003-q3,0.0,0.0
IQ382553,0.0052830188679245,0.0257671364832493,4.446217864675369e-05,4.446217864675369e-05,2003-q4,1.0,312.16
IQ382553,0.0050107372942018,0.0250631422495108,3.999565175478358e-05,3.999565175478358e-05,2004-q1,0.0,0.0
IQ382553,0.0046760187040748,0.0241997599883244,3.482901632141288e-05,3.482901632141288e-05,2004-q2,0.0,0.0
IQ382553,0.0044871794871794,0.0236983086217903,3.2071840923669015e-05,3.2071840923669015e-05,2004-q3,0.0,0.0
IQ382553,0.0041991601679664,0.0229077126246947,2.808561937072369e-05,2.808561937072369e-05,2004-q4,0.0,0.0
IQ382553,0.0057142857142857,0.0223474970979305,3.8552642326227234e-05,3.8552642326227234e-05,2005-q1,4.0,11015.990000000002
IQ382553,0.0053533190578158,0.0216161331734319,3.3834582154379744e-05,3.3834582154379744e-05,2005-q2,0.0,0.0
IQ382553,0.0060453400503778,0.020952661800245,7.617615990899487e-05,7.617615990899487e-05,2005-q3,1.0,545.09
IQ382553,0.0057279236276849,0.0203860696185499,6.838495257503539e-05,6.838495257503539e-05,2005-q4,0.0,0.0
IQ382553,0.0054029716343989,0.0197952522169526,6.084427516214999e-05,6.084427516214999e-05,2006-q1,0.0,0.0
IQ382553,0.0050998725031874,0.019220641806733,5.420782847775744e-05,5.420782847775744e-05,2006-q2,0.0,0.0
IQ382553,0.0048250904704463,0.0186852189471823,6.210896824387864e-05,6.210896824387864e-05,2006-q3,0.0,0.0
IQ382553,0.0045300113250283,0.0180924028892405,6.928453877025932e-05,6.928453877025932e-05,2006-q4,0.0,0.0
IQ382553,0.0043478260869565,0.0177160206422585,6.382274611154009e-05,6.382274611154009e-05,2007-q1,0.0,0.0
IQ382553,0.0044796691936595,0.0172687337518906,8.07725466467396e-05,8.07725466467396e-05,2007-q2,1.0,386.83
IQ382553,0.0042303937520338,0.0167798603659086,7.58454008026901e-05,7.58454008026901e-05,2007-q3,0.0,0.0
IQ382553,0.0040222772277227,0.0163580398811746,6.856535235696272e-05,6.856535235696272e-05,2007-q4,0.0,0.0
IQ382553,0.0038829151732377,0.0160710051015648,6.389573358548946e-05,6.389573358548946e-05,2008-q1,0.0,0.0
IQ382553,0.0043240126837705,0.0157830677656508,8.428582970671524e-05,8.428582970671524e-05,2008-q2,1.0,260.4
IQ382553,0.0047000276472214,0.015452499140811,9.006755219330546e-05,9.006755219330546e-05,2008-q3,1.0,6745.79
IQ382553,0.0045896328293736,0.0152676677810235,8.588564872682181e-05,8.588564872682181e-05,2008-q4,2.0,596.25
IQ382553,0.0050612679808204,0.0151618748304306,9.482735246716496e-05,9.482735246716496e-05,2009-q1,1.0,55.61
IQ382553,0.004982953055337,0.0150432519866247,9.19150781732236e-05,9.19150781732236e-05,2009-q2,1.0,84.45
IQ382553,0.0048755452912496,0.0148781135343331,9.300051268837874e-05,9.300051268837874e-05,2009-q3,0.0,0.0
IQ382553,0.0052303860523038,0.0146519126263342,0.0001067248441165,0.0001067248441165,2009-q4,2.0,883.3599999999999
IQ382553,0.0055811696190245,0.0144594591568659,0.0001013044717678,0.0001013044717678,2010-q1,0.0,0.0
IQ382553,0.0054283691291007,0.0142558459296,9.583276780856982e-05,9.583276780856982e-05,2010-q2,2.0,28295.54
IQ382553,0.0052800734618916,0.014054144559583,9.81530153850371e-05,9.81530153850371e-05,2010-q3,0.0,0.0
IQ382553,0.0050750220653133,0.0137765976658922,9.75918956261494e-05,9.75918956261494e-05,2010-q4,0.0,0.0
IQ382553,0.0049030057557024,0.013539803277347,9.39057188400962e-05,9.39057188400962e-05,2011-q1,0.0,0.0
IQ382553,0.0047688160895708,0.0133491528313773,8.883535643746313e-05,8.883535643746313e-05,2011-q2,0.0,0.0
IQ382553,0.004634293773927,0.0131558628620628,8.892893262622244e-05,8.892893262622244e-05,2011-q3,0.0,0.0
IQ382553,0.0045284504823784,0.013004350882778,8.73167327629519e-05,8.73167327629519e-05,2011-q4,0.0,0.0
IQ382553,0.0044247787610619,0.0128535690312936,8.565926875118041e-05,8.565926875118041e-05,2012-q1,0.0,0.0
IQ382553,0.0043046977353546,0.0126758567327326,8.107263652768631e-05,8.107263652768631e-05,2012-q2,0.0,0.0
IQ382553,0.0041932543299908,0.0125072095686657,7.899004446182048e-05,7.899004446182048e-05,2012-q3,0.0,0.0
IQ382553,0.0042410319844495,0.0123119986789941,7.77047806741964e-05,7.77047806741964e-05,2012-q4,1.0,68.35
IQ382553,0.004154405400727,0.0121849871595776,7.456256230529221e-05,7.456256230529221e-05,2013-q1,0.0,0.0
IQ382553,0.0040657292901914,0.0120522932884284,7.141318249460828e-05,7.141318249460828e-05,2013-q2,0.0,0.0
IQ382553,0.0039669421487603,0.0119028689417496,6.79847362244152e-05,6.79847362244152e-05,2013-q3,0.0,0.0
IQ382553,0.0038822387576835,0.0117719275804976,6.511223931616237e-05,6.511223931616237e-05,2013-q4,0.0,0.0
IQ382553,0.0039413526722371,0.011620071976879,6.632310898472793e-05,6.632310898472793e-05,2014-q1,1.0,185.33
