node,indegree,outdegree,katz,katz_eigen,clustering,dir_clustering,w_clustering,weight_dir_clustering,weighted_eigenvector,closeness,directed_betweenness,undirected_betweenness,undirected_Weighted_betweenness,harmonic,undirected_harmonic
IQ4481307,0.0,0.0005082161612739285,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,2.309859519436056e-18,0.0,0.0,1.7221828575870164e-07,1.7221828575870164e-07,1.0,3.5
IQ241811016,0.0001694053870913095,0.0,0.013257522617271292,4.539121672466579e-08,0.0,0.0,0.0,0.0,5.285704295731737e-15,0.0001694053870913095,0.0,0.0,0.0,1.5,1.5
-,0.0,0.017109944096222258,0.012052293288428446,6.399438421636231e-10,0.0,0.0,0.0,0.0,3.780216455404415e-18,0.0,0.0,0.020768535400832493,0.030487688315672445,0.0,1.0
IQ241674003,0.0001694053870913095,0.0,0.013257522617271292,2.7549582405143973e-09,0.0,0.0,0.0,0.0,4.1924561773691565e-16,0.0001694053870913095,0.0,0.0,0.0,3.0,165.56119811243462
IQ97023,0.0,0.0022022700321870235,0.012052293288428446,6.399438421636235e-10,0.0,0.0,0.0,0.0,4.070513289039414e-18,0.0,0.0,0.009055226872401161,0.007760672611144372,0.0,1.0
IQ30253,0.0001694053870913095,0.0023716754192783327,0.013257522617271292,7.581344304289808e-07,0.0,0.0,0.0,0.0,1.593480249216858e-13,0.0001694053870913095,4.5924876202320436e-07,0.007059457157630192,0.007059457157630192,1.0,130.79051184136173
IQ114259389,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,-1.3515042479824321e-18,0.0,0.0,0.0,0.0,2.0,97.26196512474688
IQ241909281,0.0001694053870913095,0.0,0.013257522617271292,1.4485128867373614e-08,0.0,0.0,0.0,0.0,-9.295585610782268e-16,0.0001694053870913095,0.0,0.0,0.0,1.0,9.83333333333333
IQ5397520,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,4.1800130897713314e-19,0.0,0.0,0.0,0.0,1.0,1.0
IQ883662,0.0001694053870913095,0.0001694053870913095,0.013257522617271292,4.539761616308744e-09,0.0,0.0,0.0,0.0,3.7403742172613744e-17,0.0001694053870913095,2.8703047626450272e-08,5.7406095252900545e-08,5.7406095252900545e-08,1.0,2.5
IQ182843707,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,-7.483926566571503e-19,0.0,0.0,0.0,0.0,1.5,118.65984249631117
IQ173791649,0.0001694053870913095,0.0,0.013257522617271292,4.0892411514255525e-09,0.0,0.0,0.0,0.0,-1.5082566276878031e-16,0.0001694053870913095,0.0,0.0,0.0,1.0,139.92667279176908
IQ216007734,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,-5.0400747788558315e-19,0.0,0.0,0.0,0.0,1.0,1.0
IQ253235186,0.0001694053870913095,0.0,0.013257522617271292,2.4407458140120593e-09,0.0,0.0,0.0,0.0,-4.6461246508541123e-17,0.0001694053870913095,0.0,0.0,0.0,0.0,1.0
IQ9681673,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,-2.2860488959351297e-19,0.0,0.0,0.0,0.0,1.0,1.0
IQ240487324,0.0001694053870913095,0.0,0.013257522617271292,8.758271423851348e-09,0.0,0.0,0.0,0.0,-7.364309620069815e-17,0.0001694053870913095,0.0,0.0,0.0,1.0,1.5
IQ18863,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,1.2560754348527528e-18,0.0,0.0,0.0,0.0,1.0,2.0
IQ52784273,0.0001694053870913095,0.0,0.013257522617271292,2.3165967086323165e-09,0.0,0.0,0.0,0.0,9.411516456019727e-17,0.0001694053870913095,0.0,0.0,0.0,2.0,7.0
IQ4165606,0.0,0.000338810774182619,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,-6.604444621475394e-19,0.0,0.0,5.7406095252900545e-08,5.7406095252900545e-08,0.0,1.0
IQ46985600,0.0001694053870913095,0.0,0.013257522617271292,3.514571581162619e-09,0.0,0.0,0.0,0.0,-1.0203544247091226e-16,0.0001694053870913095,0.0,0.0,0.0,1.0,2.3333333333333335
IQ28168,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,7.31035497476463e-19,0.0,0.0,0.0,0.0,1.0,2.0
IQ23150298,0.0001694053870913095,0.0,0.013257522617271292,1.417731587929291e-08,0.0,0.0,0.0,0.0,4.479472086027338e-16,0.0001694053870913095,0.0,0.0,0.0,1.0,6.233333333333333
IQ44227727,0.0,0.0005082161612739285,0.012052293288428446,6.399438421636232e-10,0.0,0.0,0.0,0.0,-5.040808293179369e-19,0.0,0.0,0.0,0.0,1.0,2.5
IQ10062312,0.0005082161612739285,0.0,0.013257522617271292,1.2679207344787867e-08,0.0,0.0,0.0,0.0,-4.1554013521192607e-16,0.0001694053870913095,0.0,0.0,0.0,0.0,1.0
IQ183443757,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636235e-10,0.0,0.0,0.0,0.0,4.831281543982402e-18,0.0,0.0,0.0,0.0,1.0,1.0
IQ308183,0.0001694053870913095,0.0001694053870913095,0.013257522617271292,4.78997965859472e-09,0.0,0.0,0.0,0.0,1.0234951522460567e-15,0.0001694053870913095,2.8703047626450272e-08,5.7406095252900545e-08,5.7406095252900545e-08,1.0,1.0
IQ47063987,0.0,0.0001694053870913095,0.012052293288428446,6.399438421636231e-10,0.0,0.0,0.0,0.0,2.169382772882649e-18,0.0,0.0,0.0,0.0,0.0,4.5
IQ701555,0.0001694053870913095,0.0,0.013257522617271292,6.942110799790985e-09,0.0,0.0,0.0,0.0,6.587738989981832e-16,0.0001694053870913095,0.0,0.0,0.0,1.0,3.8333333333333335
IQ4481200,0.000338810774182619,0.000677621548365238,0.013257522617271292,4.5928769552083235e-09,0.0,0.0,0.0,0.0,1.7127686485800944e-15,0.0001694053870913095,8.610914287935082e-08,3.444365715174033e-07,3.444365715174033e-07,0.0,4.816666666666667
